striker,total_score,highest_score,strike_rate,average
"Sai Sudharsan",759,108,156.17,54.21
"Suryakumar Yadav",717,73,167.92,65.18
Kohli,657,73,144.71,54.75
"Shubman Gill",650,93,157.00,54.17
"Mitchell Marsh",627,117,164.57,48.23
"Shreyas Iyer",604,97,176.09,50.33
Prabhsimran,599,91,162.77,35.24
Jaiswal,559,75,159.71,43.00
Rahul,546,112,150.41,60.67
"Priyansh Arya",545,103,182.89,30.28
Buttler,538,97,163.03,59.78
Pooran,524,87,197.74,47.64
Klaasen,487,105,174.55,48.70
Markram,445,66,149.33,34.23
"Abhishek Sharma",439,141,195.11,36.58
"Phil Salt",403,65,177.53,33.58
"Riyan Parag",393,95,167.23,32.75
Rahane,390,61,147.73,35.45
Head,374,76,165.49,31.17
"Nehal Wadhera",369,70,147.01,33.55
"Shivam Dube",357,50,133.21,32.45
"Ishan Kishan",354,106,153.25,35.40
"Shashank Singh",350,61,153.51,50.00
"Tilak Varma",343,59,140.00,34.30
"Dhruv Jurel",333,70,156.34,37.00
"Ayush Badoni",329,74,148.87,32.90
Stubbs,306,41,153.00,51.00
Jadeja,301,77,135.59,33.44
